Description,Link,Name
"A O[4] is an infamous New World pirate and captain of the A O Pirates.[2] He and his crew were subordinates to Whitebeard.[1]
",/wiki/A_O,A O
"Abdullah[5] is a criminal and a former bounty hunter who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi, along with his partner Jeet.[1] He is an ally of Luffy during the Dressrosa Arc. After the battle with the Donquixote Pirates at Dressrosa, he joined the XXX Gym Martial Arts Alliance, which later converted to a pirate crew called the Ideo Pirates.[2][3]
",/wiki/Abdullah,Abdullah
"Absalom of the Graveyard was the leader of the Zombie Soldiers and Zombie Generals of Thriller Bark prior to its collapse.[4] He was one of the Mysterious Four[2] of the Thriller Bark Pirates and one of the major antagonists of the Thriller Bark Saga.
",/wiki/Absalom,Absalom
"Acilia[2] is a gladiator at the Corrida Colosseum who participated in a tournament for the Mera Mera no Mi.[1]
",/wiki/Acilia,Acilia
,/wiki/Adele,Adele
"Aggie 68[2] is a member of the Spade Pirates.[1]
",/wiki/Aggie_68,Aggie 68
"Agotogi[2] was the leader of a gang of bandits who tried to kidnap Vivi about 11 years before the princess's return to Arabasta.[1]
",/wiki/Agotogi,Agotogi
,/wiki/Agsilly,Agsilly
"Agyo[3] is a fighting lion (闘獅子, Tōjishi?) and a gladiator competing at the Corrida Colosseum for the Mera Mera no Mi.[1]
",/wiki/Agyo,Agyo
"Ahho Desunen IX[2] is a noble from the Goa Kingdom and the father of Ahho Zurako.[1]
",/wiki/Ahho_Desunen_IX,Ahho Desunen IX
"Ahho Zurako[2] is a noble from the Goa Kingdom and the daughter of Ahho Desunen IX.[1]
",/wiki/Ahho_Zurako,Ahho Zurako
"Ahiru is the  Deputy Commander (副隊長, Fuku taichō?, VIZ Media: Vice Captain) of the East Army in the Revolutionary Army and the assistant of Belo Betty.[2]
",/wiki/Ahiru,Ahiru
,/wiki/Aisa,Aisa
"Akehende is a Marine Rear Admiral.[2][1]
",/wiki/Akehende,Akehende
"Akudai Kanzaburo[2] is an arms dealer who lives in the Flower Capital of Wano Country.[1]
",/wiki/Akudai_Kanzaburo,Akudai Kanzaburo
"Akumai[3] was a Billions agent who followed Mr. 2 Bon Kurei everywhere[1] before he was captured by Hina when Mr. 2 and his crew sacrificed themselves to save the Straw Hat Pirates.[4] His current fate is unknown.
",/wiki/Akumai,Akumai
,/wiki/Aladine,Aladine
,/wiki/Albion,Albion
"Ally is a little girl who was being held captive in the Biscuit Room, on Punk Hazard.[1] She was freed with the rest of the children by the Straw Hat Pirates.
",/wiki/Ally,Ally
"Alpacaman is a Gifter in the Beasts Pirates who serves as a guard in the Prisoner Mines of the Udon Region of Wano Country.[1]
",/wiki/Alpacaman,Alpacaman
,/wiki/Alvida,Alvida
"Amadob[4] is an infamous New World pirate who allied himself with Whitebeard.[2]
",/wiki/Amadob,Amadob
,/wiki/Amazon,Amazon
,/wiki/An_Zengaiina,An Zengaiina
,/wiki/Baskerville,And
"Andre[4] is an infamous New World pirate captain who was once a member of the Whitebeard Pirates,[2] before forming his own crew subordinate to Whitebeard. He is the twin brother of the Marine officer Candre.[5]
",/wiki/Andre,Andre
,/wiki/Anjo,Anjo
,/wiki/Ankoro,Ankoro
,/wiki/Antonio,Antonio
,/wiki/Aphelandra,Aphelandra
,/wiki/Aremo_Ganmi,Aremo Ganmi
,/wiki/Arlong,Arlong
"The Tsumegeri Guards were four men who drank the Hero Water and attempted to take down Crocodile, but failed and died from the water's side effects shortly after Crocodile refused to even fight them to give them an honorable death.[1]
",/wiki/Tsumegeri_Guards,Arrow
,/wiki/Arthur,Arthur
,/wiki/Aruyutayan_V,Aruyutayan V
,/wiki/Asahija,Asahija
,/wiki/Asashichi,Asashichi
"Ashura Doji[12] is a retainer of the Kozuki Family as one of the Nine Red Scabbards once led by Kozuki Oden.[13] After Oden's death he returned to being a criminal under the name Shutenmaru,[14] assuming leadership of the Mt. Atama Thieves.[2] He initially severed his ties with the Kozuki Family in the present but rejoined after witnessing Yasuie's death.[9]
",/wiki/Ashura_Doji,Ashura Doji
"Aswa[2] is Koza's mother and Toto's wife.[1]
",/wiki/Aswa,Aswa
"Atagoyama[2] is a sumo wrestler in Wano Country's Bakura Town.[1]
",/wiki/Atagoyama,Atagoyama
"""Water Buffalo"" Atmos is the commander of the 13th division of the Whitebeard Pirates.[3]
",/wiki/Atmos,Atmos
,/wiki/Attach,Attach
,/wiki/Avalo_Pizarro,Avalo Pizarro
"Azuki[2] is an old woman who lives in Ebisu Town.[1]
",/wiki/Azuki,Azuki
"Babanuki is a Shinuchi of the Beasts Pirates who serves as the warden of the Prisoner Mine in the Udon region of Wano Country.[3] After the prison takeover, Babanuki was tamed by Tama.[2]
",/wiki/Babanuki,Babanuki
,/wiki/Babe,Babe
"Baby 5 is the alias[7] of a pirate who is married to Sai, the Happo Navy's 13th leader.[8] She is a former servant and assassin of the Donquixote Pirates[9] serving as an officer in the Pica Army.[10] Her real name has not been revealed.[7]
",/wiki/Baby_5,Baby 5
,/wiki/Bacura,Bacura
,/wiki/Baggaley,Baggaley
"Bakezo[2] is a member of the G-5 branch of the Marines.[1]
",/wiki/Bakezo,Bakezo
